date,city,temp,feels_like,humidity,wind_speed,description
2025-07-09 13:16:29,Chicago,78.96,78.96,71,3.44,broken clouds
2025-07-09 13:20:35,chicago,78.55,79.39,70,3.44,light rain
2025-07-09 13:21:46,Chicago,78.55,79.39,70,3.44,light rain
2025-07-09 13:28:46,chicago,78.55,79.39,70,3.44,light rain
2025-07-09 13:30:26,new york,88.86,95.58,57,6.91,clear sky
2025-07-09 13:32:35,new york,88.86,95.58,57,6.91,clear sky
2025-07-09 13:33:19,new york,88.86,95.58,57,6.91,clear sky
2025-07-09 14:04:51,buffalo,76.68,77.38,71,11.5,overcast clouds
2025-07-09 14:04:57,new york city,89.76,96.49,55,8.01,clear sky
2025-07-09 16:56:59,chicago,73,73.99,85,9.22,broken clouds
2025-07-09 17:11:03,New York,90.46,96.44,52,16.11,clear sky
2025-07-09 17:11:59,10950,79.93,79.93,34,10.13,clear sky
2025-07-10 17:45:58,New York,81.63,85.55,69,8.05,clear sky
2025-07-16 16:44:42,new york,87.67,98.82,69,12.66,clear sky
2025-07-21 15:29:22,New York,86.18,85.66,40,11.5,scattered clouds
2025-07-21 15:30:27,New York,86.18,85.66,40,11.5,scattered clouds
2025-07-21 16:00:07,New York,86.65,85.98,39,14,scattered clouds
